"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"112","RT @Stuart_PhotoAFC: Thierry Henry's goal v spurs from 16th November 2002. #TH14 #arsenal #afc https://t.co/6N4RmYyxD4",FALSE,0,NA,2017-11-16 17:44:38,FALSE,NA,"931216454254333953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shrek_Shreyas",151,TRUE,FALSE,NA,NA,"B'lore,Karnataka,INDIA","en","http://pbs.twimg.com/profile_images/919159677350322176/uOYaAIjc_normal.jpg"
"113","After watching the Germany game #wenger needs to play @MesutOzil1088 in the number 10 position.. Stop playing him o… https://t.co/0MiFsagvU5",FALSE,0,NA,2017-11-16 17:44:34,TRUE,NA,"931216437150175232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ria_Vango",0,FALSE,FALSE,NA,NA,"Rochester, England","en","http://pbs.twimg.com/profile_images/930542281001787393/lVO2qkHQ_normal.jpg"
"114","#ArsenalFC #Arsenal Jens Lehmann: How I helped Cesc Fabregas stay grounded at Arsenal https://t.co/9ZMP9I3oxF",FALSE,1,NA,2017-11-16 17:43:56,FALSE,NA,"931216276852232193",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","arsenalnewsonly",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/919525798012362752/z_sHxuQW_normal.jpg"
"115","Article: #Arsenal v Tottenham: Wenger and Pochettino preview north London derby – video https://t.co/FkVI6teyTG",FALSE,0,NA,2017-11-16 17:43:19,FALSE,NA,"931216121537220609",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","CharmCityGooner",0,FALSE,FALSE,NA,NA,"Baltimore, MD","en","http://pbs.twimg.com/profile_images/703943310470152192/dMwSHfWi_normal.jpg"
"116","RT @BrandonTopps: NEW VID - We Hate These lot!"" A Must win game - NLD PREVIEW https://t.co/IgrljQC6ty via @YouTube #Arsenal #spurs #coyg",FALSE,0,NA,2017-11-16 17:42:58,FALSE,NA,"931216033767190528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FutbolAlarcon",6,TRUE,FALSE,NA,NA,"Londres","en","http://pbs.twimg.com/profile_images/813371583813287936/xsVG4Jgv_normal.jpg"
"117","RT @Joepav77: Arsenal vs Tottenham Hotspur
https://t.co/cp6c1tqvw5

#Arsenal #Gunners #PremierLeague #soccer #Spurs #TottenhamHotspur https…",FALSE,0,NA,2017-11-16 17:41:53,FALSE,NA,"931215762353741824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sarkararif56",1432,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/829553033998630912/aoGguQek_normal.jpg"
"118","RT @simbactz: Que des numéros 10 dans ma team
#Arsenal https://t.co/2NOccInZpQ",FALSE,0,NA,2017-11-16 17:41:21,FALSE,NA,"931215627385176064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FedorZor",47,TRUE,FALSE,NA,NA,"Saint-Denis, France","fr","http://pbs.twimg.com/profile_images/890959635523538944/WRl5v4mi_normal.jpg"
"119","This is for those who say Ozil is lazy. #TouchlineFracas #arsenal https://t.co/eELu1gtDjC",FALSE,0,NA,2017-11-16 17:40:59,FALSE,NA,"931215534347218945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StefonWilliams7",0,FALSE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/902601088083173376/4dVCot9i_normal.jpg"
"120","RT @BrandonTopps: NEW VID - We Hate These lot!"" A Must win game - NLD PREVIEW https://t.co/IgrljQC6ty via @YouTube #Arsenal #spurs #coyg",FALSE,0,NA,2017-11-16 17:40:44,FALSE,NA,"931215474536386560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MUTCHARSENAL",6,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/757312807536820224/xzJmwOGz_normal.jpg"
"121","RT @Joepav77: Arsenal vs Tottenham Hotspur
https://t.co/cp6c1tqvw5

#Arsenal #Gunners #PremierLeague #soccer #Spurs #TottenhamHotspur https…",FALSE,0,NA,2017-11-16 17:40:11,FALSE,NA,"931215333880483840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GhxstBlooded",1432,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/758165957294583809/U_Id4TZR_normal.jpg"
